PLAY #,ODK,QTR,DN,DIST,HASH,YARD LN,PLAY TYPE,PLAY DIR,RESULT,GN/LS,OFF PLAY,OFF FORM,PERSONNEL,OFF STR,GAP,DEF FRONT,COVERAGE,BLITZ,MOTION DIR,PLAYER,YAC
26,O,2,2.0,15.0,R,-34.0,Pass,L,Complete,46.0,DROPBACK PASS,3,10.0,L,,32.0,2.0,,,89.0,5.0
27,O,2,1.0,10.0,L,10.0,Run,L,Fumble,0.0,INSIDE,1,20.0,L,A,34.0,0.0,,,3.0,
28,D,2,1.0,10.0,R,-5.0,Pass,R,Complete,5.0,DROPBACK PASS,4 QUEEN,10.0,R,,34.0,1.0,,,87.0,5.0
29,D,2,2.0,5.0,L,-10.0,Run,L,Rush,1.0,OUTSIDE,4 QUEEN,10.0,R,,34.0,2.0,,,,
30,D,2,3.0,4.0,L,-11.0,Pass,R,Incomplete,0.0,DROPBACK PASS,1 KING,10.0,R,,34.0,2.0,S:C,,31.0,
31,D,2,1.0,10.0,L,-26.0,Pass,R,Interception,0.0,DROPBACK PASS,0 QUEEN,11.0,R,,33.0,1.0,,,,
32,O,2,1.0,10.0,L,42.0,Pass,R,Penalty,15.0,DROPBACK PASS,0,20.0,R,,34.0,2.0,,,26.0,
33,O,2,1.0,10.0,L,26.0,Run,L,Rush,11.0,OUTSIDE,0,20.0,R,,34.0,2.0,S:C,,3.0,
34,O,2,1.0,10.0,L,15.0,Pass,R,Incomplete,0.0,DROPBACK PASS,4 KING,10.0,R,,34.0,2.0,S:B,,26.0,
35,O,2,2.0,10.0,L,15.0,Pass,L,Incomplete,0.0,DROPBACK PASS,5 QUEEN,10.0,L,,33.0,2.0,,,89.0,
36,O,2,3.0,10.0,L,15.0,Pass,L,Incomplete,0.0,DROPBACK PASS,0,11.0,R,,34.0,2.0,,,80.0,
37,O,2,4.0,10.0,L,15.0,Run,L,Sack,0.0,INSIDE,5 KING,10.0,L,,32.0,2.0,,,3.0,
38,D,2,1.0,10.0,R,-21.0,Run,R,Rush,0.0,OUTSIDE,4 KING,10.0,R,,33.0,2.0,,,3.0,
39,D,2,2.0,10.0,R,-21.0,Pass,L,Complete,16.0,DROPBACK PASS,5 KING,10.0,L,,34.0,2.0,,,13.0,
40,D,2,1.0,10.0,L,-37.0,Run,L,Rush,4.0,INSIDE,2,10.0,R,B,34.0,2.0,,,15.0,
